########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2520	S	0	0	TL_IPC_14
2521	S	0	0	TL_DB_14
2522	S	0	0	TL_Cache_14
2523	S	0	0	TL_Sensor_14
2524	S	0	0	TL_Anim_14
2525	S	0	0	TL_Upload_14
2526	S	0	0	TL_Download_14
2527	S	0	0	TL_Parser_14
2528	S	0	0	TL_Watchdog_14
2529	S	0	0	TL_Event_14
2530	S	0	0	TL_Sync_14
2531	S	0	0	TL_Log_14
2532	S	0	0	TL_Worker_15
2533	S	0	0	TL_IO_15
2534	S	0	0	TL_Net_15
2535	S	0	0	TL_Render_15
2536	S	0	0	TL_Audio_15
2537	S	0	0	TL_Codec_15
2538	S	0	0	TL_GC_15
2539	S	0	0	TL_Timer_15
2540	S	0	0	TL_IPC_15
2541	S	0	0	TL_DB_15
2542	S	0	0	TL_Cache_15
2543	S	0	0	TL_Sensor_15
2544	S	0	0	TL_Anim_15
2545	S	0	0	TL_Upload_15
2546	S	0	0	TL_Download_15
2547	S	0	0	TL_Parser_15
2548	S	0	0	TL_Watchdog_15
2549	S	0	0	TL_Event_15
2550	S	0	0	TL_Sync_15
2551	S	0	0	TL_Log_15
2552	S	0	0	TL_Worker_16
2553	S	0	0	TL_IO_16
2554	S	0	0	TL_Net_16
2555	S	0	0	TL_Render_16
2556	S	0	0	TL_Audio_16
2557	S	0	0	TL_Codec_16
2558	S	0	0	TL_GC_16
2559	S	0	0	TL_Timer_16
2560	S	0	0	TL_IPC_16
2561	S	0	0	TL_DB_16
2562	S	0	0	TL_Cache_16
2563	S	0	0	TL_Sensor_16
2564	S	0	0	TL_Anim_16
2565	S	0	0	TL_Upload_16
2566	S	0	0	TL_Download_16
2567	S	0	0	TL_Parser_16
2568	S	0	0	TL_Watchdog_16
2569	S	0	0	TL_Event_16
2570	S	0	0	TL_Sync_16
2571	S	0	0	TL_Log_16
2572	S	0	0	TL_Worker_17
2573	S	0	0	TL_IO_17
2574	S	0	0	TL_Net_17
2575	S	0	0	TL_Render_17
2576	S	0	0	TL_Audio_17
2577	S	0	0	TL_Codec_17
2578	S	0	0	TL_GC_17
2579	S	0	0	TL_Timer_17
