subsystem	path	repository	head	branch	changed_entries	component_count	literal_gn_target_count	coverage_status
filemanagement	foundation/filemanagement/storage_service	filemanagement_storage_service	1f7b4fbcc857fb5500b9fe002743d6d84eb023f4	DETACHED	0	1	689	component-and-targets
filemanagement	foundation/filemanagement/user_file_service	filemanagement_user_file_service	0186acbe2febd0a3395184fab81d9232799c6bfe	DETACHED	0	1	146	component-and-targets
graphic	foundation/graphic/graphic_2d	graphic_graphic_2d	18c31917473cd05c54fe6c993c4485e0a21f5c98	DETACHED	0	1	2085	component-and-targets
graphic	foundation/graphic/graphic_3d	graphic_graphic_3d	81df080e9b88376962d3a59457455b71d297b46c	DETACHED	0	1	230	component-and-targets
graphic	foundation/graphic/graphic_cangjie_wrapper	graphic_graphic_cangjie_wrapper	03c3f6f99e7978c550140d2a87f9e2fe12d0a9f3	DETACHED	0	1	4	component-and-targets
graphic	foundation/graphic/graphic_surface	graphic_graphic_surface	6df1d80e3413050dfa4383ae36cd5cc2bbb81581	DETACHED	0	1	114	component-and-targets
graphic	foundation/graphic/graphic_utils_lite	graphic_graphic_utils_lite	be0cf30c9eb4be4af5e5d71cd62eb831291ef675	DETACHED	0	1	14	component-and-targets
graphic	foundation/graphic/graphics_effect	graphic_graphics_effect	fada2682eccd3177218348e43a45386e483e64cd	DETACHED	0	1	23	component-and-targets
graphic	foundation/graphic/surface_lite	graphic_surface_lite	4ed2deddbcf598532104f67747a9b81e7548898b	DETACHED	0	1	6	component-and-targets
multimedia	foundation/multimedia/audio_framework	multimedia_audio_framework	1c2cb9214d88abe7f5de7bda15738fb729ff63f5	DETACHED	0	1	972	component-and-targets
multimedia	foundation/multimedia/audio_lite	multimedia_audio_lite	d3fcb3c99269ba127e885d27cb4016664314b40f	DETACHED	0	1	7	component-and-targets
multimedia	foundation/multimedia/av_codec	multimedia_av_codec	64443774ef9e4be21832cb805819000b6526d751	DETACHED	25	1	1199	component-and-targets
multimedia	foundation/multimedia/av_session	multimedia_av_session	28024be537135683d063cc118e8b3901fd3cf119	DETACHED	0	1	221	component-and-targets
multimedia	foundation/multimedia/camera_framework	multimedia_camera_framework	7305161274db584b4a8f45639d85245843d17af6	DETACHED	0	1	310	component-and-targets
multimedia	foundation/multimedia/camera_lite	multimedia_camera_lite	4e47221967da4b0139eaebba37ed1a7aecad5233	DETACHED	0	1	6	component-and-targets
multimedia	foundation/multimedia/drm_framework	multimedia_drm_framework	541c01ead21a2aeaad48aeec45599366dd511a31	DETACHED	0	1	40	component-and-targets
multimedia	foundation/multimedia/image_effect	multimedia_image_effect	4e4a0c7979c5b963058537bfd95cc353e0078fd9	DETACHED	0	1	9	component-and-targets
multimedia	foundation/multimedia/image_framework	multimedia_image_framework	f3d7683947d8dc87a21dfd923405924d6a9cf7f3	DETACHED	4	1	298	component-and-targets
multimedia	foundation/multimedia/media_foundation	multimedia_media_foundation	4dcd209557f39934938a5956949a1b7492fca0b1	DETACHED	0	1	217	component-and-targets
