subsystem	component	repository_path	repository	bundle_path	rk3568_selected	adapted_system_types	component_dependency_count	third_party_dependency_count	declared_sub_component_count	inner_kit_count	declared_test_entry_count	gn_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
deviceprofile	device_info_manager	foundation/deviceprofile/device_info_manager	deviceprofile_device_info_manager	foundation/deviceprofile/device_info_manager/bundle.json	yes	standard	28	0	0	2	4	92	10	76	5	1
distributeddatamgr	data_object	foundation/distributeddatamgr/data_object	distributeddatamgr_data_object	foundation/distributeddatamgr/data_object/bundle.json	yes	standard	23	2	2	2	4	74	16	34	15	9
distributeddatamgr	data_share	foundation/distributeddatamgr/data_share	distributeddatamgr_data_share	foundation/distributeddatamgr/data_share/bundle.json	yes	standard	21	0	0	11	5	227	74	119	15	19
distributeddatamgr	datamgr_service	foundation/distributeddatamgr/datamgr_service	distributeddatamgr_datamgr_service	foundation/distributeddatamgr/datamgr_service/bundle.json	yes	standard	40	3	7	1	3	340	39	263	32	6
distributeddatamgr	distributeddatamgr_cangjie_wrapper	foundation/distributeddatamgr/distributeddatamgr_cangjie_wrapper	distributeddatamgr_distributeddatamgr_cangjie_wrapper	foundation/distributeddatamgr/distributeddatamgr_cangjie_wrapper/bundle.json	no	standard	7	0	6	3	0	8	7	0	0	1
distributeddatamgr	kv_store	foundation/distributeddatamgr/kv_store	distributeddatamgr_kv_store	foundation/distributeddatamgr/kv_store/bundle.json	yes	standard	29	4	14	19	9	588	80	402	80	26
distributeddatamgr	pasteboard	foundation/distributeddatamgr/pasteboard	distributeddatamgr_pasteboard	foundation/distributeddatamgr/pasteboard/bundle.json	yes	standard	41	0	0	6	2	112	22	70	10	10
distributeddatamgr	preferences	foundation/distributeddatamgr/preferences	distributeddatamgr_preferences	foundation/distributeddatamgr/preferences/bundle.json	yes	standard	16	0	8	4	7	95	18	45	23	9
distributeddatamgr	relational_store	foundation/distributeddatamgr/relational_store	distributeddatamgr_relational_store	foundation/distributeddatamgr/relational_store/bundle.json	yes	standard	27	1	22	13	27	323	74	175	54	20
distributeddatamgr	udmf	foundation/distributeddatamgr/udmf	distributeddatamgr_udmf	foundation/distributeddatamgr/udmf/bundle.json	yes	standard	28	0	5	20	2	124	26	77	13	8
distributedhardware	device_manager	foundation/distributedhardware/device_manager	distributedhardware_device_manager	foundation/distributedhardware/device_manager/bundle.json	yes	standard,mini	40	0	0	7	1	396	50	316	14	16
distributedhardware	distributed_audio	foundation/distributedhardware/distributed_audio	distributedhardware_distributed_audio	foundation/distributedhardware/distributed_audio/bundle.json	yes	standard	25	0	11	5	2	226	10	191	25	0
distributedhardware	distributed_camera	foundation/distributedhardware/distributed_camera	distributedhardware_distributed_camera	foundation/distributedhardware/distributed_camera/bundle.json	yes	standard	29	0	11	0	13	237	11	211	15	0
distributedhardware	distributed_hardware_fwk	foundation/distributedhardware/distributed_hardware_fwk	distributedhardware_distributed_hardware_fwk	foundation/distributedhardware/distributed_hardware_fwk/bundle.json	yes	standard	34	0	12	6	16	336	28	245	58	5
distributedhardware	distributed_input	foundation/distributedhardware/distributed_input	distributedhardware_distributed_input	foundation/distributedhardware/distributed_input/bundle.json	yes	standard	24	0	17	1	18	112	17	94	1	0
distributedhardware	distributed_screen	foundation/distributedhardware/distributed_screen	distributedhardware_distributed_screen	foundation/distributedhardware/distributed_screen/bundle.json	yes	standard	28	0	11	2	18	146	11	114	21	0
distributedhardware	mechbody_controller	foundation/distributedhardware/mechbody_controller	distributedhardware_mechbody_controller	foundation/distributedhardware/mechbody_controller/bundle.json	yes	standard	29	0	5	0	2	212	7	198	3	4
filemanagement	app_file_service	foundation/filemanagement/app_file_service	filemanagement_app_file_service	foundation/filemanagement/app_file_service/bundle.json	yes	small,standard	31	1	0	10	4	222	53	135	11	23
