subsystem	component	part
developtools	packing_tool	developtools:packing_tool
developtools	smartperf_host	developtools:smartperf_host
developtools	syscap_codec	developtools:syscap_codec
device_rk3568	device_rk3568	device_rk3568:device_rk3568
deviceprofile	device_info_manager	deviceprofile:device_info_manager
distributeddatamgr	data_object	distributeddatamgr:data_object
distributeddatamgr	data_share	distributeddatamgr:data_share
distributeddatamgr	datamgr_service	distributeddatamgr:datamgr_service
distributeddatamgr	kv_store	distributeddatamgr:kv_store
distributeddatamgr	pasteboard	distributeddatamgr:pasteboard
distributeddatamgr	preferences	distributeddatamgr:preferences
distributeddatamgr	relational_store	distributeddatamgr:relational_store
distributeddatamgr	udmf	distributeddatamgr:udmf
distributedhardware	device_manager	distributedhardware:device_manager
distributedhardware	distributed_audio	distributedhardware:distributed_audio
distributedhardware	distributed_camera	distributedhardware:distributed_camera
distributedhardware	distributed_hardware_fwk	distributedhardware:distributed_hardware_fwk
distributedhardware	distributed_input	distributedhardware:distributed_input
distributedhardware	distributed_screen	distributedhardware:distributed_screen
distributedhardware	mechbody_controller	distributedhardware:mechbody_controller
filemanagement	app_file_service	filemanagement:app_file_service
filemanagement	dfs_service	filemanagement:dfs_service
filemanagement	disk_manager	filemanagement:disk_manager
filemanagement	file_api	filemanagement:file_api
filemanagement	storage_service	filemanagement:storage_service
filemanagement	user_file_service	filemanagement:user_file_service
game	game_controller_framework	game:game_controller_framework
global	font_manager	global:font_manager
global	i18n	global:i18n
global	resource_management	global:resource_management
global	system_resources	global:system_resources
global	timezone	global:timezone
graphic	graphic_2d	graphic:graphic_2d
graphic	graphic_3d	graphic:graphic_3d
graphic	graphic_surface	graphic:graphic_surface
graphic	graphic_utils_lite	graphic:graphic_utils_lite
graphic	graphics_effect	graphic:graphics_effect
graphic	vulkan-headers	graphic:vulkan-headers
graphic	vulkan-loader	graphic:vulkan-loader
hdf	drivers_devhost	hdf:drivers_devhost
hdf	drivers_interface_audio	hdf:drivers_interface_audio
hdf	drivers_interface_battery	hdf:drivers_interface_battery
hdf	drivers_interface_bluetooth	hdf:drivers_interface_bluetooth
hdf	drivers_interface_camera	hdf:drivers_interface_camera
hdf	drivers_interface_codec	hdf:drivers_interface_codec
hdf	drivers_interface_display	hdf:drivers_interface_display
hdf	drivers_interface_distributed_audio	hdf:drivers_interface_distributed_audio
hdf	drivers_interface_distributed_camera	hdf:drivers_interface_distributed_camera
hdf	drivers_interface_drm	hdf:drivers_interface_drm
hdf	drivers_interface_ethernet	hdf:drivers_interface_ethernet
hdf	drivers_interface_face_auth	hdf:drivers_interface_face_auth
hdf	drivers_interface_fingerprint_auth	hdf:drivers_interface_fingerprint_auth
hdf	drivers_interface_huks	hdf:drivers_interface_huks
hdf	drivers_interface_input	hdf:drivers_interface_input
hdf	drivers_interface_intelligent_voice	hdf:drivers_interface_intelligent_voice
hdf	drivers_interface_light	hdf:drivers_interface_light
hdf	drivers_interface_location_agnss	hdf:drivers_interface_location_agnss
hdf	drivers_interface_location_geofence	hdf:drivers_interface_location_geofence
hdf	drivers_interface_location_gnss	hdf:drivers_interface_location_gnss
hdf	drivers_interface_lpplayer	hdf:drivers_interface_lpplayer
hdf	drivers_interface_memorytracker	hdf:drivers_interface_memorytracker
hdf	drivers_interface_midi	hdf:drivers_interface_midi
hdf	drivers_interface_motion	hdf:drivers_interface_motion
hdf	drivers_interface_nnrt	hdf:drivers_interface_nnrt
hdf	drivers_interface_partitionslot	hdf:drivers_interface_partitionslot
hdf	drivers_interface_pin_auth	hdf:drivers_interface_pin_auth
hdf	drivers_interface_power	hdf:drivers_interface_power
hdf	drivers_interface_ril	hdf:drivers_interface_ril
hdf	drivers_interface_sensor	hdf:drivers_interface_sensor
hdf	drivers_interface_thermal	hdf:drivers_interface_thermal
hdf	drivers_interface_usb	hdf:drivers_interface_usb
hdf	drivers_interface_user_auth	hdf:drivers_interface_user_auth
hdf	drivers_interface_vibrator	hdf:drivers_interface_vibrator
hdf	drivers_interface_wlan	hdf:drivers_interface_wlan
hdf	drivers_peripheral_audio	hdf:drivers_peripheral_audio
hdf	drivers_peripheral_battery	hdf:drivers_peripheral_battery
hdf	drivers_peripheral_bluetooth	hdf:drivers_peripheral_bluetooth
hdf	drivers_peripheral_camera	hdf:drivers_peripheral_camera
hdf	drivers_peripheral_clearplay	hdf:drivers_peripheral_clearplay
hdf	drivers_peripheral_codec	hdf:drivers_peripheral_codec
hdf	drivers_peripheral_display	hdf:drivers_peripheral_display
hdf	drivers_peripheral_distributed_audio	hdf:drivers_peripheral_distributed_audio
hdf	drivers_peripheral_distributed_camera	hdf:drivers_peripheral_distributed_camera
hdf	drivers_peripheral_ethernet	hdf:drivers_peripheral_ethernet
hdf	drivers_peripheral_face_auth	hdf:drivers_peripheral_face_auth
hdf	drivers_peripheral_fingerprint_auth	hdf:drivers_peripheral_fingerprint_auth
hdf	drivers_peripheral_huks	hdf:drivers_peripheral_huks
hdf	drivers_peripheral_input	hdf:drivers_peripheral_input
hdf	drivers_peripheral_intelligent_voice	hdf:drivers_peripheral_intelligent_voice
hdf	drivers_peripheral_light	hdf:drivers_peripheral_light
hdf	drivers_peripheral_location_agnss	hdf:drivers_peripheral_location_agnss
hdf	drivers_peripheral_location_geofence	hdf:drivers_peripheral_location_geofence
hdf	drivers_peripheral_location_gnss	hdf:drivers_peripheral_location_gnss
hdf	drivers_peripheral_memorytracker	hdf:drivers_peripheral_memorytracker
hdf	drivers_peripheral_midi	hdf:drivers_peripheral_midi
hdf	drivers_peripheral_motion	hdf:drivers_peripheral_motion
hdf	drivers_peripheral_partitionslot	hdf:drivers_peripheral_partitionslot
hdf	drivers_peripheral_pin_auth	hdf:drivers_peripheral_pin_auth
hdf	drivers_peripheral_power	hdf:drivers_peripheral_power
hdf	drivers_peripheral_ril	hdf:drivers_peripheral_ril
hdf	drivers_peripheral_sensor	hdf:drivers_peripheral_sensor
hdf	drivers_peripheral_thermal	hdf:drivers_peripheral_thermal
hdf	drivers_peripheral_usb	hdf:drivers_peripheral_usb
hdf	drivers_peripheral_user_auth	hdf:drivers_peripheral_user_auth
hdf	drivers_peripheral_vibrator	hdf:drivers_peripheral_vibrator
hdf	drivers_peripheral_wlan	hdf:drivers_peripheral_wlan
hdf	drivers_tools	hdf:drivers_tools
hdf	external_device_manager	hdf:external_device_manager
hdf	hdf_core	hdf:hdf_core
hdf	ril_device_driver_interface	hdf:ril_device_driver_interface
hiviewdfx	api_metrics	hiviewdfx:api_metrics
hiviewdfx	faultloggerd	hiviewdfx:faultloggerd
hiviewdfx	hiappevent	hiviewdfx:hiappevent
hiviewdfx	hichecker	hiviewdfx:hichecker
hiviewdfx	hicollie	hiviewdfx:hicollie
hiviewdfx	hidumper	hiviewdfx:hidumper
hiviewdfx	hilog	hiviewdfx:hilog
hiviewdfx	hisysevent	hiviewdfx:hisysevent
hiviewdfx	hitrace	hiviewdfx:hitrace
hiviewdfx	hiview	hiviewdfx:hiview
inputmethod	imf	inputmethod:imf
location	location	location:location
location	location_common	location:location_common
location	location_geocode	location:location_geocode
location	location_gnss	location:location_gnss
location	location_locator	location:location_locator
location	location_network	location:location_network
location	location_passive	location:location_passive
msdp	device_status	msdp:device_status
multimedia	audio_framework	multimedia:audio_framework
multimedia	av_codec	multimedia:av_codec
multimedia	av_session	multimedia:av_session
multimedia	camera_framework	multimedia:camera_framework
multimedia	drm_framework	multimedia:drm_framework
multimedia	image_effect	multimedia:image_effect
multimedia	image_framework	multimedia:image_framework
multimedia	media_foundation	multimedia:media_foundation
multimedia	media_library	multimedia:media_library
multimedia	midi_framework	multimedia:midi_framework
multimedia	player_framework	multimedia:player_framework
multimedia	ringtone_library	multimedia:ringtone_library
multimedia	video_processing_engine	multimedia:video_processing_engine
multimodalinput	input	multimodalinput:input
notification	common_event_service	notification:common_event_service
notification	distributed_notification_service	notification:distributed_notification_service
notification	eventhandler	notification:eventhandler
officeservice	object_editor	officeservice:object_editor
ostest	wukong	ostest:wukong
powermgr	battery_manager	powermgr:battery_manager
powermgr	battery_statistics	powermgr:battery_statistics
powermgr	display_manager	powermgr:display_manager
powermgr	power_manager	powermgr:power_manager
powermgr	thermal_manager	powermgr:thermal_manager
print	print_fwk	print:print_fwk
product_rk3568	product_rk3568	product_rk3568:product_rk3568
request	request	request:request
resourceschedule	background_task_mgr	resourceschedule:background_task_mgr
resourceschedule	device_standby	resourceschedule:device_standby
resourceschedule	device_usage_statistics	resourceschedule:device_usage_statistics
resourceschedule	ffrt	resourceschedule:ffrt
resourceschedule	frame_aware_sched	resourceschedule:frame_aware_sched
resourceschedule	memmgr	resourceschedule:memmgr
resourceschedule	qos_manager	resourceschedule:qos_manager
resourceschedule	resource_schedule_service	resourceschedule:resource_schedule_service
resourceschedule	soc_perf	resourceschedule:soc_perf
resourceschedule	work_scheduler	resourceschedule:work_scheduler
rockchip_products	rockchip_products	rockchip_products:rockchip_products
sdk	sdk	sdk:sdk
security	access_token	security:access_token
security	appverify	security:appverify
security	asset	security:asset
security	certificate_framework	security:certificate_framework
security	certificate_manager	security:certificate_manager
security	code_signature	security:code_signature
security	crypto_framework	security:crypto_framework
security	dataclassification	security:dataclassification
security	device_auth	security:device_auth
security	device_security_level	security:device_security_level
security	dlp_permission_service	security:dlp_permission_service
security	huks	security:huks
security	security_component_manager	security:security_component_manager
security	security_guard	security:security_guard
security	selinux_adapter	security:selinux_adapter
sensors	miscdevice	sensors:miscdevice
sensors	sensor	sensors:sensor
sensors	start	sensors:start
startup	appspawn	startup:appspawn
startup	init	startup:init
startup	startup_l2	startup:startup_l2
systemabilitymgr	safwk	systemabilitymgr:safwk
systemabilitymgr	samgr	systemabilitymgr:samgr
systemabilitymgr	selectionfwk	systemabilitymgr:selectionfwk
tee	tee_client	tee:tee_client
telephony	call_manager	telephony:call_manager
telephony	cellular_call	telephony:cellular_call
telephony	cellular_data	telephony:cellular_data
telephony	core_service	telephony:core_service
telephony	ril_adapter	telephony:ril_adapter
telephony	sms_mms	telephony:sms_mms
telephony	state_registry	telephony:state_registry
telephony	telephony_data	telephony:telephony_data
testfwk	arkxtest	testfwk:arkxtest
theme	screenlock_mgr	theme:screenlock_mgr
theme	wallpaper_mgr	theme:wallpaper_mgr
thirdparty	FreeBSD	thirdparty:FreeBSD
